,总价,单价,所在区域,小区名称,房屋类型,所在楼层,建筑面积,户型结构,建筑类型,房屋朝向,装修情况,配备电梯
15998,70,8150,贾汪区,金山福地,2室1厅1厨1卫,中楼层,85.9,平层,板塔结合,南,其他,有
15999,95,8337,贾汪区,城置国际花园城一期,3室2厅1厨2卫,中楼层,113.95,平层,板塔结合,南,精装,有
16000,160,11175,贾汪区,绿地之窗国际花都二期,3室2厅1厨2卫,低楼层,143.18,平层,板楼,南 北,毛坯,有
16001,150,15420,贾汪区,美的城,3室2厅1厨1卫,中楼层,97.28,平层,板楼,南 北,精装,有
16002,86,10358,贾汪区,金色年华二期,2室2厅1厨1卫,低楼层,83.03,平层,板楼,南 北,精装,有
16003,93,9223,贾汪区,美的时代城,3室2厅1厨1卫,高楼层,100.84,平层,板楼,南,简装,有
16004,73,8806,贾汪区,金色年华二期,2室2厅1厨1卫,中楼层,82.9,平层,板楼,南,毛坯,有
16007,105,10881,贾汪区,绿地之窗国际花都五期,2室2厅1厨1卫,中楼层,96.5,平层,板楼,南 北,精装,有
16008,122,13459,贾汪区,星湖湾,2室2厅1厨1卫,中楼层,90.65,平层,板楼,南,精装,有
16009,56,6391,贾汪区,绿地高铁东城三期,2室2厅1厨1卫,中楼层,87.63,平层,板楼,南,毛坯,有
16011,141,11942,贾汪区,君廷湖畔,3室2厅1厨1卫,高楼层,118.08,平层,板楼,南 北,简装,有
16012,119,9573,贾汪区,城置国际花园城三期,3室1厅1厨2卫,低楼层,124.31,平层,板楼,南,精装,有
16013,76,6420,贾汪区,绿地高铁东城三期,3室2厅1厨2卫,中楼层,118.39,平层,板楼,南,其他,有
16014,239,15097,贾汪区,金色年华一期,4室2厅1厨2卫,中楼层,158.32,平层,板楼,南,精装,有
16015,77,8442,贾汪区,绿地高铁东城,2室2厅1厨1卫,低楼层,91.22,平层,板楼,南,精装,有
16016,75,7736,贾汪区,绿地高铁东城,2室1厅1厨1卫,高楼层,96.96,平层,板楼,南,简装,有
16017,130,14077,贾汪区,城置国际花园城二期,2室2厅1厨1卫,低楼层,92.35,平层,板楼,南,精装,有
16018,288.7,20559,贾汪区,美的城,3室1厅1厨1卫,低楼层,140.42,平层,板塔结合,南 北,精装,有
16019,370,23691,贾汪区,美的城,4室2厅1厨2卫,低楼层,156.18,平层,板楼,南,精装,有
16020,36.8,3211,贾汪区,永业嘉苑,3室2厅1厨1卫,中楼层,114.61,平层,板楼,南,简装,无
16021,120,9829,贾汪区,城置国际花园城二期,3室2厅1厨1卫,低楼层,122.1,平层,板楼,南,精装,有
16022,145,12026,贾汪区,城置国际花园城二期,3室2厅1厨1卫,中楼层,120.58,平层,板楼,南 北,精装,有
16023,205,15749,贾汪区,星湖湾,4室2厅1厨2卫,中楼层,130.17,平层,板楼,南,精装,有
16024,38,5000,贾汪区,月星国际公寓,2室1厅1厨0卫,高楼层,76,平层,板楼,南,简装,有
16025,158,12616,贾汪区,金色年华一期,3室2厅1厨2卫,低楼层,125.24,平层,板楼,南 北,其他,有
16026,105,8994,贾汪区,城置国际花园城二期,3室1厅1厨1卫,中楼层,116.75,平层,板楼,南 北,精装,有
16027,110,9010,贾汪区,城置国际花园城二期,3室1厅1厨1卫,低楼层,122.1,平层,板楼,南,其他,有
16029,120,11285,贾汪区,绿地高铁东城三期,3室2厅1厨1卫,低楼层,106.34,平层,板楼,南,精装,有
16030,140,10222,贾汪区,城置国际花园城三期,4室2厅1厨2卫,高楼层,136.97,平层,板楼,南,精装,有
16031,130,12582,贾汪区,美的时代城,3室2厅1厨1卫,高楼层,103.33,平层,板楼,南 北,精装,有
16032,89.9,9248,贾汪区,城置国际花园城二期,3室2厅1厨1卫,中楼层,97.22,平层,板楼,南,精装,有
16033,110,12251,贾汪区,绿地高铁东城,2室2厅1厨1卫,高楼层,89.79,平层,板楼,南,精装,有
