,总价,单价,所在区域,小区名称,房屋类型,所在楼层,建筑面积,户型结构,建筑类型,房屋朝向,装修情况,配备电梯
0,135,10916,云龙区,开甲尚仕名邸北区,3室2厅1厨2卫,高楼层,123.68,复式,板楼,南 北,精装,无
1,129,14438,云龙区,香溪左岸南区,2室1厅1厨1卫,中楼层,89.35,平层,板楼,南,精装,有
2,122,11710,云龙区,开甲尚仕名邸北区,3室2厅1厨1卫,高楼层,104.19,平层,板楼,南 北,精装,有
3,128,10740,云龙区,景染名居,3室2厅1厨1卫,低楼层,119.19,平层,板塔结合,南 北,精装,有
4,105,11529,云龙区,云龙华府二期,2室1厅1厨1卫,中楼层,91.08,平层,板塔结合,南,精装,有
5,90,10550,云龙区,山水康桥,2室2厅1厨1卫,中楼层,85.31,平层,板塔结合,南,精装,有
6,151,15590,云龙区,华润橡树湾,3室2厅1厨1卫,中楼层,96.86,平层,板楼,南,简装,有
7,96,9169,云龙区,民怡园,3室1厅1厨1卫,中楼层,104.71,平层,板塔结合,南 北,精装,无
8,89,12182,云龙区,协鑫和平上东,2室1厅1厨1卫,中楼层,73.06,平层,板塔结合,南,毛坯,有
9,128,13047,云龙区,协鑫和平上东,3室2厅1厨1卫,高楼层,98.11,平层,板塔结合,南,精装,有
10,128,12054,云龙区,荣盛香榭兰庭,3室2厅1厨2卫,高楼层,106.19,平层,板塔结合,南,精装,有
11,95,7085,云龙区,日成奥运城小区,3室2厅1厨1卫,低楼层,134.1,平层,板塔结合,南,简装,有
12,76,7504,云龙区,天能小区,3室2厅1厨1卫,中楼层,101.28,平层,板楼,南,精装,无
13,144,14803,云龙区,华润橡树湾,3室2厅1厨1卫,低楼层,97.28,平层,板楼,南,精装,有
14,158,11955,云龙区,绿地世纪城六期,3室2厅1厨2卫,中楼层,132.17,平层,板塔结合,南 北,精装,有
15,151,16848,云龙区,万科翡翠之光,3室2厅1厨1卫,高楼层,89.63,平层,板楼,南,其他,有
16,196,18068,云龙区,万科翡翠之光,3室2厅1厨2卫,中楼层,108.48,平层,板楼,南 北,精装,有
17,147,14768,云龙区,华润橡树湾,3室1厅1厨1卫,中楼层,99.54,平层,板楼,南,毛坯,有
18,88.8,6993,云龙区,子房美景花園,3室2厅1厨2卫,低楼层,126.99,平层,板楼,南,简装,有
21,76,6952,云龙区,子房美景花園,2室2厅1厨1卫,中楼层,109.33,平层,板楼,南 北,简装,无
22,195,16175,云龙区,华润橡树湾,3室2厅1厨2卫,高楼层,120.56,平层,板楼,南,毛坯,有
23,71,5647,云龙区,子房美景花園,3室2厅1厨1卫,高楼层,125.75,复式,板楼,南,精装,无
24,115,12889,云龙区,万科尚都会,3室2厅1厨1卫,中楼层,89.23,平层,板塔结合,南 北,精装,有
28,170,11698,云龙区,世茂东都天城,4室2厅1厨2卫,低楼层,145.33,平层,板塔结合,南 北,简装,有
29,115,10555,云龙区,美的工润明湖,3室2厅1厨1卫,高楼层,108.96,平层,板塔结合,南,简装,有
30,128,12252,云龙区,协鑫和平上东,3室2厅1厨1卫,中楼层,104.48,平层,板塔结合,南,毛坯,有
32,109,11127,云龙区,绿地世纪城一期,2室2厅1厨1卫,高楼层,97.96,平层,板楼,南,精装,有
33,69,8480,云龙区,民富园小区(云龙区),3室1厅1厨1卫,中楼层,81.37,平层,板塔结合,南,精装,无
34,77,8062,云龙区,民富园小区(云龙区),3室1厅1厨1卫,中楼层,95.52,平层,板塔结合,南,简装,无
35,110,12345,云龙区,万科尚都会,3室2厅1厨1卫,中楼层,89.11,平层,板塔结合,南,简装,有
36,122,12725,云龙区,和平壹号三期,3室2厅1厨1卫,中楼层,95.88,平层,板塔结合,南,毛坯,有
38,175,14297,云龙区,开甲尚仕名邸北区,3室2厅1厨2卫,低楼层,122.41,平层,板塔结合,南 北,精装,有
39,125,13098,云龙区,荣盛香榭兰庭,3室1厅1厨1卫,中楼层,95.44,平层,板塔结合,南,精装,有
40,182,13288,云龙区,世茂天域华府,3室2厅1厨2卫,中楼层,136.97,平层,板塔结合,南,精装,有
41,120,10255,云龙区,绿地世纪城一期,3室2厅1厨1卫,中楼层,117.02,平层,板楼,南,精装,无
42,115,11915,云龙区,绿地世纪城二期,3室2厅1厨1卫,高楼层,96.52,复式,板塔结合,南 北,精装,有
43,178,15322,云龙区,万科美的璞悦山,3室2厅1厨1卫,中楼层,116.18,平层,板楼,南,其他,有
75,88,6779,云龙区,黄山垄A区,3室2厅1厨1卫,高楼层,129.82,平层,板塔结合,南,简装,无
76,118,7654,云龙区,大汉富邦,3室1厅1厨2卫,中楼层,154.17,跃层,板塔结合,南,精装,有
77,590,27611,云龙区,玺悦龙城,4室2厅1厨4卫,低楼层,213.69,平层,板塔结合,南 北,精装,有
80,480,18534,云龙区,和平上东四期,4室2厅1厨2卫,低楼层,258.99,复式,板塔结合,南,其他,无
81,378,19254,云龙区,香溪左岸北区,4室2厅1厨1卫,高楼层,196.33,复式,板塔结合,南 北,精装,有
82,190,18876,云龙区,金洋紫金东郡,3室2厅1厨1卫,高楼层,100.66,平层,板塔结合,南,精装,有
84,510,26040,云龙区,玺悦龙城,4室1厅1厨4卫,低楼层,195.86,平层,板塔结合,南,精装,有
85,168,15890,云龙区,和平上东臻园,3室2厅1厨1卫,中楼层,105.73,平层,板楼,东,精装,有
87,150,14802,云龙区,地铁时尚生活广场,3室2厅1厨1卫,高楼层,101.34,平层,板楼,南 北,毛坯,有
88,145,15374,云龙区,协鑫和平上东,3室2厅1厨1卫,中楼层,94.32,平层,板塔结合,南,其他,有
89,118,12228,云龙区,美的工润明湖,3室2厅1厨1卫,高楼层,96.5,平层,板楼,南,毛坯,有
92,121,9016,云龙区,贵邦俊园东区,3室2厅1厨2卫,高楼层,134.21,平层,板塔结合,南,精装,无
93,168,16878,云龙区,华润橡树湾,3室2厅1厨1卫,中楼层,99.54,平层,板楼,南,精装,有
94,148,13078,云龙区,绿地世纪城三期,3室2厅1厨1卫,低楼层,113.17,平层,板塔结合,南 北,其他,有
95,143,13638,云龙区,协鑫和平上东,3室2厅1厨1卫,高楼层,104.86,平层,板塔结合,南 北,精装,有
96,41,8656,云龙区,苏园里小区,2室0厅1厨1卫,中楼层,47.37,平层,板楼,西 东,其他,无
97,153,12339,云龙区,玉棠苑,3室2厅1厨2卫,高楼层,124,平层,板楼,南 北,毛坯,有
98,132,13628,云龙区,华润橡树湾,3室2厅1厨1卫,低楼层,96.86,平层,板楼,南,毛坯,有
99,175,14941,云龙区,华润橡树湾,3室2厅1厨2卫,中楼层,117.13,平层,板楼,南,毛坯,有
100,120,12291,云龙区,和平上东四期,3室2厅1厨1卫,高楼层,97.64,平层,板塔结合,南 北,毛坯,有
101,160,11951,云龙区,云龙华府二期,3室2厅1厨2卫,高楼层,133.89,平层,板塔结合,南,毛坯,有
102,138,13941,云龙区,华润橡树湾,3室2厅1厨1卫,高楼层,98.99,平层,板楼,南 北,简装,有
103,134,13539,云龙区,华润橡树湾,3室2厅1厨1卫,高楼层,98.98,平层,板楼,南,毛坯,有
104,110,12385,云龙区,万科尚都会,3室2厅1厨1卫,中楼层,88.82,平层,板塔结合,南,精装,有
105,155,17294,云龙区,万科翡翠之光,3室2厅1厨1卫,高楼层,89.63,平层,板楼,南,精装,有
106,109,10640,云龙区,荣盛香榭兰庭,3室2厅1厨1卫,高楼层,102.45,平层,塔楼,南,精装,有
107,155,12307,云龙区,和平壹号三期,3室2厅1厨2卫,低楼层,125.95,平层,板塔结合,南,毛坯,有
108,229,18569,云龙区,万科翡翠之光,3室2厅1厨2卫,中楼层,123.33,平层,板楼,南,精装,有
109,115,12854,云龙区,永嘉金色雅筑A区,3室2厅1厨1卫,中楼层,89.47,平层,板楼,南,精装,有
110,125,12650,云龙区,和平上东四期,3室2厅1厨1卫,中楼层,98.82,平层,板楼,南,毛坯,有
111,156,17507,云龙区,万科翡翠之光,3室2厅1厨1卫,中楼层,89.11,平层,板楼,南,精装,有
112,155,16003,云龙区,华润橡树湾,3室2厅1厨1卫,中楼层,96.86,平层,板楼,南,毛坯,有
113,135,12279,云龙区,云龙华府二期,3室1厅1厨1卫,低楼层,109.95,平层,板塔结合,南,精装,有
114,25,5060,云龙区,润金城一期,1室1厅1厨1卫,低楼层,49.41,平层,板楼,南 北,毛坯,有
115,172,13454,云龙区,璟悦,3室2厅1厨2卫,高楼层,127.85,平层,板楼,南 北,精装,有
117,130,12131,云龙区,和平上东四期,3室1厅1厨1卫,中楼层,107.17,平层,板塔结合,南,毛坯,有
118,159,15831,云龙区,万科美的璞悦山,3室2厅1厨1卫,低楼层,100.44,平层,板楼,南 北,精装,有
119,178,13501,云龙区,和平壹号二期,3室2厅1厨2卫,高楼层,131.85,平层,板楼,南,毛坯,有
120,115,12558,云龙区,金洋紫金东郡,3室2厅1厨1卫,低楼层,91.58,平层,板塔结合,南 北,其他,有
121,160,12904,云龙区,和平壹号三期,3室1厅1厨2卫,中楼层,124,平层,板塔结合,南,毛坯,有
122,65,11568,云龙区,绿地世纪城五期,1室1厅1厨1卫,低楼层,56.19,平层,板楼,南,精装,有
123,63,11338,云龙区,绿地世纪城五期,1室1厅1厨1卫,高楼层,55.57,平层,板塔结合,南,其他,有
127,130,10147,云龙区,東方美地西区,3室1厅1厨2卫,中楼层,128.12,平层,板塔结合,南,简装,无
128,64,9986,云龙区,世茂东都天观,1室1厅1厨1卫,中楼层,64.09,平层,塔楼,南,其他,有
129,130,11403,云龙区,绿地世纪城四期,3室2厅1厨1卫,中楼层,114.01,平层,板塔结合,南,精装,有
130,150,16582,云龙区,万科翡翠之光,3室2厅1厨1卫,高楼层,90.46,平层,板楼,南,精装,有
131,140,14773,云龙区,华润橡树湾,3室1厅1厨1卫,高楼层,94.77,平层,板楼,南,精装,有
133,200,16039,云龙区,红星·云龙金茂悦,3室2厅1厨2卫,中楼层,124.7,平层,板塔结合,南,精装,有
135,130,15219,云龙区,华润橡树湾,2室2厅1厨1卫,低楼层,85.42,平层,板楼,南,精装,有
142,150,10345,云龙区,东方明珠,5室2厅1厨1卫,高楼层,145,复式,板塔结合,南,其他,无
144,112,12485,云龙区,山水康桥,3室1厅1厨1卫,中楼层,89.71,平层,板塔结合,南 北,精装,有
147,65,5432,云龙区,民怡园,2室1厅1厨1卫,高楼层,119.68,复式,板塔结合,南,简装,无
148,188,13906,云龙区,世茂东都天观,3室2厅1厨2卫,高楼层,135.2,平层,塔楼,南,精装,有
149,199,13093,云龙区,好来花园,4室2厅1厨2卫,高楼层,152,错层,塔楼,南,其他,无
150,97,8558,云龙区,東方美地东区,3室2厅1厨1卫,高楼层,113.35,复式,板塔结合,南,精装,无
153,216,15094,云龙区,万科尚都会,4室2厅1厨2卫,低楼层,143.11,平层,板塔结合,南 北,精装,无
154,215,15024,云龙区,万科尚都会,4室1厅1厨2卫,高楼层,143.11,平层,板塔结合,南,精装,无
155,155,12327,云龙区,万科尚都会,3室2厅1厨2卫,高楼层,125.75,平层,板塔结合,南 北,其他,有
156,335,19941,云龙区,润金城二期,4室2厅1厨2卫,中楼层,168,平层,板塔结合,南,其他,有
157,145,15849,云龙区,金洋紫金东郡,3室1厅1厨1卫,低楼层,91.49,平层,板塔结合,东,其他,有
159,229,14779,云龙区,世茂东都汉之源翡翠谷,4室2厅1厨2卫,低楼层,154.96,平层,板塔结合,南,其他,有
160,158,21833,云龙区,荣盛香榭兰庭,3室2厅1厨2卫,高楼层,72.37,复式,板塔结合,南,其他,有
162,85,8876,云龙区,民怡园,3室2厅1厨1卫,中楼层,95.77,平层,板塔结合,南,简装,无
163,163,13863,云龙区,和平壹号四期,3室2厅1厨2卫,低楼层,117.58,平层,平房,南,简装,有
164,233,14005,云龙区,地铁时尚生活广场,4室2厅1厨2卫,低楼层,166.37,平层,板楼,南,其他,有
165,278,18236,云龙区,云龙华府二期,3室1厅1厨2卫,中楼层,152.45,平层,板塔结合,南,毛坯,有
166,160,16074,云龙区,华润橡树湾,3室1厅1厨1卫,中楼层,99.54,平层,板楼,南,毛坯,有
167,260,18569,云龙区,华润橡树湾,4室2厅1厨2卫,高楼层,140.02,平层,板楼,南,毛坯,有
168,128,13443,云龙区,世茂东都天城,2室2厅1厨1卫,高楼层,95.22,平层,板塔结合,南,精装,有
169,135,14499,云龙区,荣盛香榭兰庭,3室1厅1厨1卫,中楼层,93.11,平层,板塔结合,南,其他,有
171,170,12662,云龙区,世茂东都汉之源翡翠谷,3室2厅1厨1卫,低楼层,134.26,平层,板塔结合,南,简装,有
172,107,12846,云龙区,和平上东四期,2室1厅1厨1卫,中楼层,83.3,平层,板塔结合,南,简装,有
173,85,6135,云龙区,民富园小区(云龙区),3室2厅1厨2卫,高楼层,138.55,平层,板塔结合,南 北,其他,无
174,100,12414,云龙区,狮子山小区,2室2厅1厨1卫,中楼层,80.56,平层,板塔结合,南,其他,无
176,71,12329,云龙区,民富园小区(云龙区),2室1厅1厨1卫,低楼层,57.59,平层,板塔结合,东北,其他,无
178,230,16427,云龙区,华润橡树湾,4室2厅1厨2卫,高楼层,140.02,平层,板楼,南,毛坯,有
180,135,12769,云龙区,和平上东臻园,3室1厅1厨1卫,低楼层,105.73,平层,板楼,南,精装,有
181,125,12476,云龙区,荣盛香榭兰庭,3室2厅2厨1卫,高楼层,100.2,平层,板塔结合,南,其他,有
182,105,12651,云龙区,荣盛香榭兰庭,2室2厅1厨1卫,高楼层,83,平层,板塔结合,南,其他,有
183,79,6284,云龙区,民富园小区(云龙区),3室2厅1厨2卫,高楼层,125.73,复式,板塔结合,南,精装,无
184,98,8392,云龙区,圆梦花园,3室2厅1厨1卫,中楼层,116.78,平层,板楼,南 北,其他,无
185,65,7603,云龙区,民富园小区(云龙区),2室1厅1厨1卫,高楼层,85.5,平层,板塔结合,南,其他,无
186,420,29765,云龙区,万科美的璞悦山,2室2厅1厨3卫,低楼层,141.11,复式,板楼,东南 南,其他,有
187,32.8,6651,云龙区,润金城一期,1室1厅1厨1卫,高楼层,49.32,平层,板塔结合,南,其他,有
188,400,28697,云龙区,万科美的璞悦山,4室2厅1厨2卫,高楼层,139.39,复式,板楼,北 南,简装,有
189,255,16963,云龙区,绿地世纪城四期,4室2厅1厨2卫,中楼层,150.33,平层,板塔结合,南,精装,有
190,265,21621,云龙区,绿城东方雅园,3室2厅1厨2卫,中楼层,122.57,平层,板楼,南,精装,有
192,39.8,5671,云龙区,铁刹小区,2室2厅1厨1卫,高楼层,70.19,平层,板塔结合,南,简装,无
193,170,16017,云龙区,金洋紫金东郡,3室2厅1厨1卫,高楼层,106.14,平层,板塔结合,南,其他,有
194,55,9032,云龙区,绿苑花园,2室1厅1厨1卫,中楼层,60.9,平层,板塔结合,南,精装,有
195,100,10845,云龙区,瑞丰花园,3室2厅1厨1卫,中楼层,92.21,平层,板楼,东南 南,简装,无
196,316,21336,云龙区,万科翡翠之光,4室2厅1厨2卫,低楼层,148.11,平层,板楼,南,精装,有
197,76,8300,云龙区,圆梦花园,2室2厅1厨1卫,高楼层,91.57,平层,板楼,南 北,其他,无
198,103,11931,云龙区,永嘉金色雅筑A区,2室1厅1厨1卫,高楼层,86.33,平层,板楼,南,其他,有
199,126,14611,云龙区,金洋紫金东郡,2室1厅1厨1卫,中楼层,86.24,平层,板塔结合,南 北,精装,有
200,168,14906,云龙区,提香湾,3室2厅1厨1卫,高楼层,112.71,平层,板楼,南,精装,有
201,79.9,7723,云龙区,古槐园一期,3室2厅1厨1卫,中楼层,103.47,平层,板楼,南,简装,无
202,248,20127,云龙区,绿城东方雅园,3室1厅1厨2卫,中楼层,123.22,平层,板楼,南 北,毛坯,有
204,260,20473,云龙区,万科翡翠之光,3室2厅1厨2卫,低楼层,127,平层,板楼,南,精装,有
205,118,13525,云龙区,尚景园南区,3室1厅1厨1卫,高楼层,87.25,平层,板塔结合,南,精装,有
206,170,13634,云龙区,和平壹号三期,3室2厅1厨2卫,中楼层,124.69,平层,板塔结合,南 北,简装,有
208,315,22218,云龙区,红星·云龙金茂悦,4室2厅1厨2卫,低楼层,141.78,平层,板塔结合,南,精装,有
209,170,15917,云龙区,云龙华府二期,3室2厅1厨1卫,低楼层,106.81,平层,板塔结合,南,精装,有
210,288,22007,云龙区,金洋紫金东郡,3室2厅1厨2卫,低楼层,130.87,平层,板塔结合,南,精装,有
211,185,15878,云龙区,绿城东方雅园,4室2厅1厨2卫,高楼层,116.52,平层,板楼,东,简装,有
212,158,15989,云龙区,和平上东四期,3室2厅1厨1卫,低楼层,98.82,平层,板楼,南,精装,有
213,135,15361,云龙区,协鑫和平上东,2室1厅1厨1卫,低楼层,87.89,平层,板塔结合,南,精装,有
214,140,13995,云龙区,和平上东四期,3室1厅1厨1卫,中楼层,100.04,平层,板塔结合,南,精装,有
215,185,12682,云龙区,绿地世纪城四期,4室2厅1厨2卫,中楼层,145.88,平层,板塔结合,南,精装,有
216,166,17480,云龙区,华润橡树湾,3室1厅1厨1卫,高楼层,94.97,平层,板楼,南,精装,有
217,182,12817,云龙区,世茂东都汉之源翡翠谷,4室2厅1厨2卫,高楼层,142,平层,板塔结合,南,精装,有
218,155,14098,云龙区,云龙华府二期,3室2厅1厨1卫,低楼层,109.95,平层,板塔结合,南,毛坯,有
221,195,17377,云龙区,提香湾,3室2厅1厨1卫,低楼层,112.22,平层,板塔结合,南 北,其他,有
222,130,9630,云龙区,日成奥运城小区,3室2厅1厨1卫,中楼层,135,平层,板楼,南,其他,有
223,180,17267,云龙区,协鑫和平上东,3室2厅1厨1卫,低楼层,104.25,平层,板塔结合,南,精装,有
224,138,12622,云龙区,美的工润明湖,3室2厅1厨1卫,中楼层,109.34,平层,板楼,南 北,简装,有
225,195,14301,云龙区,绿地世纪城六期,4室2厅1厨1卫,高楼层,136.36,平层,板塔结合,南,简装,有
226,90,8090,云龙区,康馨园C区,4室1厅1厨1卫,高楼层,111.25,复式,板塔结合,南,其他,有
227,145,14056,云龙区,世茂东都天城,3室2厅1厨1卫,高楼层,103.16,平层,板塔结合,南,毛坯,有
228,305,24066,云龙区,和平上东四期,4室2厅1厨1卫,中楼层,126.74,平层,板塔结合,南 北,其他,有
230,55,4950,云龙区,民富园小区(云龙区),3室2厅1厨1卫,高楼层,111.12,复式,板塔结合,南 北,简装,无
231,155,14375,云龙区,金洋紫金东郡,3室2厅1厨1卫,高楼层,107.83,平层,板塔结合,南,毛坯,有
234,215,16774,云龙区,美的工润明湖,4室2厅1厨2卫,中楼层,128.18,平层,板楼,南,其他,有
235,220,19014,云龙区,华润橡树湾,3室2厅1厨2卫,高楼层,115.71,平层,板楼,南,毛坯,有
236,78,6252,云龙区,民富园小区(云龙区),4室3厅1厨2卫,高楼层,124.77,复式,板塔结合,南 北,精装,无
238,220,18513,云龙区,华润橡树湾,3室2厅1厨2卫,低楼层,118.84,平层,板楼,南,简装,有
239,280,20075,云龙区,万科翡翠之光,4室2厅1厨2卫,低楼层,139.48,平层,板楼,南,其他,有
242,175,12726,云龙区,绿地世纪城六期,4室3厅1厨2卫,高楼层,137.52,平层,板塔结合,南,毛坯,有
243,85,9244,云龙区,圆梦花园,3室2厅1厨1卫,高楼层,91.96,平层,板楼,南,其他,无
244,220,17385,云龙区,金洋紫金东郡,3室2厅1厨2卫,中楼层,126.55,平层,板塔结合,南 北,精装,有
246,182,17357,云龙区,协鑫和平上东,3室2厅1厨1卫,低楼层,104.86,平层,板塔结合,南 北,精装,有
247,98,10323,云龙区,绿地世纪城三期,2室1厅1厨1卫,低楼层,94.94,平层,板塔结合,南,精装,有
248,140,14168,云龙区,和平上东四期,3室2厅1厨1卫,低楼层,98.82,平层,板楼,南,其他,有
249,160,11373,云龙区,山水康桥,3室2厅1厨2卫,中楼层,140.69,平层,板塔结合,南,精装,有
251,480,24973,云龙区,云龙华府二期,5室1厅1厨2卫,中楼层,192.21,平层,板塔结合,南,其他,有
252,265,16849,云龙区,金洋紫金东郡,4室2厅1厨2卫,中楼层,157.28,平层,板塔结合,南,毛坯,有
253,143,11781,云龙区,贵邦俊园西区,3室2厅1厨2卫,低楼层,121.39,平层,板塔结合,南 北,精装,无
254,208,17852,云龙区,绿城东方雅园,4室2厅1厨2卫,高楼层,116.52,平层,板楼,南 东,精装,有
255,92,8284,云龙区,康馨园C区,4室1厅1厨1卫,高楼层,111.06,复式,板塔结合,南 北,简装,有
258,319,20507,云龙区,润金城二期,3室1厅1厨2卫,中楼层,155.56,平层,板塔结合,南,毛坯,有
260,115,11856,云龙区,東方美地西区,2室2厅1厨1卫,低楼层,97,平层,板楼,南,精装,无
261,203,21000,云龙区,开甲尚仕名邸北区,3室1厅1厨1卫,中楼层,96.67,平层,板楼,南,简装,无
262,145,9458,云龙区,圆梦花园,4室2厅1厨2卫,低楼层,153.31,平层,板楼,南 北,简装,无
263,82,8147,云龙区,圆梦花园,3室2厅1厨1卫,中楼层,100.66,平层,板楼,南 北,精装,无
264,168,19535,云龙区,开甲尚仕名邸北区,2室2厅1厨1卫,低楼层,86,平层,板塔结合,南,精装,有
266,125,14298,云龙区,德晟君园,3室1厅1厨1卫,高楼层,87.43,平层,塔楼,南,精装,有
267,288,19920,云龙区,和平壹号三期,4室1厅1厨2卫,中楼层,144.58,平层,板塔结合,南 北,毛坯,有
268,242,17074,云龙区,南郊中茵城,3室1厅1厨2卫,低楼层,141.74,平层,板塔结合,南,毛坯,有
269,165,10976,云龙区,绿地世纪城四期,4室2厅1厨2卫,低楼层,150.33,平层,板塔结合,南,毛坯,有
271,170,13257,云龙区,香溪左岸北区,3室2厅1厨2卫,高楼层,128.24,平层,板塔结合,西,毛坯,有
272,180,19746,云龙区,金洋紫金东郡,3室2厅1厨1卫,中楼层,91.16,平层,板塔结合,南,其他,有
274,130,13472,云龙区,美的工润明湖,3室2厅1厨1卫,中楼层,96.5,平层,板楼,南,毛坯,有
275,185,15633,云龙区,华润橡树湾,3室2厅1厨2卫,中楼层,118.34,平层,板楼,南,毛坯,有
276,178,19306,云龙区,国华天域,3室1厅1厨1卫,中楼层,92.2,平层,板塔结合,东 南,毛坯,有
277,196,16395,云龙区,华润橡树湾,3室2厅1厨2卫,低楼层,119.55,平层,板楼,南,简装,有
279,75,6024,云龙区,民富园小区(云龙区),2室2厅1厨1卫,高楼层,124.51,平层,板塔结合,南 北,其他,无
285,145,14035,云龙区,开甲尚仕名邸北区,3室1厅1厨1卫,高楼层,103.32,平层,板塔结合,南,其他,有
288,115,14137,云龙区,和平上东四期,2室2厅1厨1卫,中楼层,81.35,平层,板塔结合,南,简装,有
291,150,13997,云龙区,和平上东四期,3室2厅1厨1卫,低楼层,107.17,平层,板塔结合,南,精装,有
294,60,7500,云龙区,民健小区,3室1厅1厨1卫,中楼层,80,平层,板楼,南,简装,无
296,48,5746,云龙区,绿地世纪城七期,2室2厅1厨1卫,低楼层,83.54,复式,板塔结合,南,其他,有
300,165,8510,云龙区,云龙区检察院公寓,3室1厅1厨2卫,高楼层,193.9,复式,板楼,南 北,其他,无
302,62,5807,云龙区,民富园小区(云龙区),3室1厅1厨2卫,高楼层,106.78,复式,板塔结合,南,其他,无
303,190,16110,云龙区,和平上东臻园,4室2厅1厨2卫,高楼层,117.94,复式,板塔结合,南,简装,有
311,63,7726,云龙区,民富园小区(云龙区),2室1厅1厨1卫,高楼层,81.55,平层,板塔结合,南,其他,无
315,178,13392,云龙区,和平上东四期,3室1厅1厨1卫,高楼层,132.92,平层,板楼,南,毛坯,有
316,770,30032,云龙区,玺悦龙城,4室2厅1厨4卫,低楼层,256.4,平层,板塔结合,南,精装,有
317,159,14848,云龙区,和平壹号四期,3室2厅1厨1卫,高楼层,107.09,平层,平房,南,毛坯,有
318,230,16427,云龙区,华润橡树湾,4室2厅1厨2卫,中楼层,140.02,平层,板楼,南,毛坯,有
335,90,8759,云龙区,民怡园,3室2厅1厨1卫,中楼层,102.76,平层,板塔结合,南,精装,无
341,86,10684,云龙区,莲花小区,3室1厅1厨1卫,低楼层,80.5,平层,板楼,南,其他,无
343,110,8980,云龙区,云龙紫荆园,3室2厅1厨2卫,低楼层,122.5,平层,板楼,南,精装,有
344,65,8815,云龙区,康馨园C区,2室2厅1厨1卫,中楼层,73.74,平层,板塔结合,南,简装,无
346,97,10000,云龙区,云龙紫荆园,3室2厅1厨1卫,低楼层,97,平层,板楼,南,精装,有
349,168,12456,云龙区,绿地世纪城六期,3室2厅1厨2卫,高楼层,134.88,平层,板塔结合,南,精装,有
351,125,12650,云龙区,和平上东四期,3室1厅1厨1卫,高楼层,98.82,平层,板楼,南,精装,有
354,99,10420,云龙区,东方美地南区,2室2厅1厨1卫,中楼层,95.01,平层,板塔结合,南,精装,有
355,125,10623,云龙区,东方美地南区,3室1厅1厨1卫,中楼层,117.67,平层,板塔结合,南,精装,有
356,112,11667,云龙区,荣盛香榭兰庭,3室2厅1厨1卫,中楼层,96,平层,板塔结合,南,简装,有
358,172,13046,云龙区,和平壹号二期,3室2厅1厨2卫,低楼层,131.85,平层,板楼,南 北,毛坯,有
359,189,14335,云龙区,和平壹号二期,3室2厅1厨2卫,低楼层,131.85,平层,板楼,南,精装,有
360,65,8827,云龙区,绿地世纪城五期,2室1厅1厨1卫,中楼层,73.64,平层,板塔结合,南,简装,有
362,210,18364,云龙区,万科翡翠之光,3室2厅1厨2卫,高楼层,114.36,平层,板楼,南,精装,有
363,236,14186,云龙区,地铁时尚生活广场,4室2厅1厨2卫,高楼层,166.37,平层,板楼,南,毛坯,有
364,89,8219,云龙区,云龙紫荆园,3室2厅1厨1卫,中楼层,108.29,平层,板楼,南,毛坯,有
365,186,15426,云龙区,华润橡树湾,3室2厅1厨2卫,高楼层,120.58,平层,板楼,南,毛坯,有
366,38,7334,云龙区,古槐园一期,2室1厅1厨1卫,中楼层,51.82,平层,板楼,南,精装,无
369,88,9177,云龙区,圆梦花园,3室2厅1厨1卫,高楼层,95.9,平层,板楼,南,其他,无
370,55,8826,云龙区,康馨园B区,1室1厅1厨1卫,中楼层,62.32,平层,板楼,南,其他,无
371,58,9363,云龙区,世茂东都天观,1室1厅1厨1卫,低楼层,61.95,平层,板楼,南,其他,有
373,550,21362,云龙区,和平上东四期,5室3厅1厨3卫,低楼层,257.47,复式,板塔结合,南,其他,有
374,35,8199,云龙区,莲花小区,1室1厅1厨1卫,高楼层,42.69,平层,板楼,南,其他,无
376,45,11128,云龙区,提香湾,1室1厅1厨1卫,低楼层,40.44,平层,板塔结合,南,精装,有
377,130,17719,云龙区,南郊中茵城,2室1厅1厨1卫,高楼层,73.37,平层,板楼,南,毛坯,有
378,182,7690,云龙区,日成奥运城小区,6室3厅1厨2卫,高楼层,236.7,复式,板塔结合,南,其他,无
380,115,13925,云龙区,荣盛香榭兰庭,2室2厅1厨1卫,低楼层,82.59,平层,塔楼,南,精装,有
382,89,9463,云龙区,骆驼山康馨园A区,2室2厅1厨1卫,中楼层,94.06,平层,板楼,南,精装,有
383,108,12688,云龙区,和平上东臻园,2室2厅1厨1卫,高楼层,85.12,平层,板楼,南,其他,有
384,45,11771,云龙区,绿地世纪城五期,1室1厅1厨1卫,低楼层,38.23,平层,板塔结合,南,其他,有
385,105,12086,云龙区,玉兰苑,2室2厅1厨1卫,中楼层,86.88,平层,板楼,南,毛坯,有
386,208,17592,云龙区,华润橡树湾,3室2厅1厨2卫,低楼层,118.24,平层,板楼,南,精装,有
387,680,26522,云龙区,玺悦龙城,4室2厅1厨4卫,中楼层,256.4,平层,板塔结合,南,精装,有
391,164,16761,云龙区,华润橡树湾,3室2厅1厨1卫,低楼层,97.85,平层,板楼,南,精装,有
394,76,8639,云龙区,民怡园,2室2厅1厨1卫,中楼层,87.98,平层,板塔结合,南,简装,无
395,140,14602,云龙区,和平壹号三期,3室2厅1厨1卫,低楼层,95.88,平层,板塔结合,南,毛坯,有
